left_symbType	right_symbType	allowed
atom__symbol	atom__symbol	yes
features__symbol	atom__symbol	yes
anything__symbol	atom__symbol	yes
bracket__symbol	atom__symbol	yes
bond__symbol	atom__symbol	yes
modifier__symbol	atom__symbol	yes
cis_trans__symbol	atom__symbol	yes
atom__symbol	features__symbol	yes
features__symbol	features__symbol	yes
anything__symbol	features__symbol	yes
bracket__symbol	features__symbol	yes
bond__symbol	features__symbol	no
modifier__symbol	features__symbol	no
cis_trans__symbol	features__symbol	no
atom__symbol	anything__symbol	yes
features__symbol	anything__symbol	yes
anything__symbol	anything__symbol	yes
bracket__symbol	anything__symbol	yes
bond__symbol	anything__symbol	yes
modifier__symbol	anything__symbol	yes
cis_trans__symbol	anything__symbol	yes
atom__symbol	bracket__symbol	yes
features__symbol	bracket__symbol	yes
anything__symbol	bracket__symbol	yes
bracket__symbol	bracket__symbol	no
bond__symbol	bracket__symbol	yes
modifier__symbol	bracket__symbol	yes
cis_trans__symbol	bracket__symbol	yes
atom__symbol	bond__symbol	yes
atom__symbol	modifier__symbol	yes
features__symbol	bond__symbol	no
features__symbol	modifier__symbol	no
anything__symbol	bond__symbol	yes
anything__symbol	modifier__symbol	yes
bracket__symbol	bond__symbol	yes
bracket__symbol	modifier__symbol	yes
bond__symbol	bond__symbol	no
bond__symbol	modifier__symbol	no
modifier__symbol	bond__symbol	no
modifier__symbol	modifier__symbol	yes
cis_trans__symbol	bond__symbol	no
cis_trans__symbol	modifier__symbol	yes
atom__symbol	cis_trans__symbol	yes
features__symbol	cis_trans__symbol	no
anything__symbol	cis_trans__symbol	yes
bracket__symbol	cis_trans__symbol	yes
bond__symbol	cis_trans__symbol	no
modifier__symbol	cis_trans__symbol	yes
cis_trans__symbol	cis_trans__symbol	no
